"neutral","Affe, Braunbär, Chamäleon, Dachs, Elefant, Fledermaus, Goldfisch, Hase, Igel, JAGUAR, KAKADU, LACHMÖWE, Maulwurf, NACHTIGALL, Opossum..."
"positive","RT :  Ach ja... :DD"
"negative"," honess bekommt ne sehr hohe gesldstrafe und das max. an bewährung."
"neutral","EWR-Beitritt würde «delikate Fragen» provozieren "
"neutral","Große Dinge werfen ihren Schatten voraus! "
"positive"," Hmmm, vielleicht fehlt dir der Glaube? Oder du hast einfach die falsche Kühlschrankmarke:-)"
"neutral","#ONLINE #sicher #Druck ▸ #web-to-print #Businesslösungen Beispiel: Produktgruppe #Roll-Up-Displays "
"neutral","Arbeit, Soziales, Selbständigkeit &amp; Beruf • # Immer mehr Menschen ab 60 arbeitslos... "
"neutral"," ich hab kein wa :/ geht auchh fb?"
"neutral","Interims Management: Vor-und Nachteile für den Einsatz als eine große B... "
"negative","Welches Geschenk hast du zuletzt bekommen? — Eine Bettdecke o.O "
"negative","Nervt mich voll, dass ich Samstag nicht da hin kann."
"neutral","Neue Pop-CDs: Die Editors schrumpfen die Welt "
"neutral","RT : #Vattenfall muss weg, #Energieversorgung gehört in öffentliche Hand. Hier #Briefwahl für #Volksbegehren beantragen "
"neutral","Post Edited: Gardasee- Ferienwohnungen "
"neutral","#GEWINNSPIELTEILNAHME #gratis! Mit Glück eine #Playstation 4✔ GEWINNEN? ➽"
"positive","Mirabellen frisch aus dem Garten ❤ #obst #ernte #healthy #herbst #yummy #mirabellen "
"neutral","RT : Herr Kaiser macht Karriere, Herr Lehmann geht leer aus: Wie der Nachname die #Karriere beeinflusst. "
"positive","   ick hoffe hat allen gefallen in der verrückten Bude.. Und man sieht sich mal wieder, &amp; ick hab mehr zeit :-)"
"neutral",""
"negative"," was probiert? Seit doch bitte wenigstens realistisch! Nix habt ihr erreicht seit Beginn der Meisterschaft!"
"neutral","  kenn aber auch keinen anderen account der so viel liebe beherbergt."
"neutral"," jealous much? Mönchengladbach muss gewinnen okay."
"positive"," Sieht super aus. Ende. 😉"
"neutral"," EW nicht Stromer"
"neutral"," Lavabit wurde aus diesen Grund heut geschlossen. Snowden hatte diesen Dienst benutzt"
"neutral"," #SaidNoOneEver"
"neutral","Antipasti aus den Super Zucchini von  &amp;  gemacht \ö/ "
"neutral","Nicht vergessen: Das bissige #Musical Vergnügen heute im König Albert Theater! "
"negative","den ganzen tag wildwasserbahn fahren war vielleicht doch nicht sooo gut.."
"neutral","RT : warum sollte eine freund_innenschaft nicht romantisch sein?"
"neutral","Soziale Empfehlungen bald auch in #Google+ möglich. #Update "
"neutral","05:37: ""If Today Was Your Last Day"" von Nickelback"
"neutral","Interessant dabei: Eine konkrete Person meint Cyrus offenbar nicht. Vielmehr scheint sie davon auszugehen, dass... "
"neutral","Willkür öffentlich machen: Mollath will Psychiatrie-Patienten helfen "
"positive","Time to sleep... guten nacht..."
"positive"," Heck yeah.. Buuffoonnn doin well. Forza Azzuri!"
"neutral"," Siehst heute echt gut aus! Haste abgenommen? #Elektrotitte"
"neutral","Onlinegame gratis Battlestar Galactica Space-Game "
"neutral","Wetter: Häufig sonnig, vereinzelt Schauer "
"neutral",".: Serie: Was braucht Österreich? Aufträge an die Politik. "
"neutral","  Kaputt nicht unbedingt. Aber man sollte eine Kaffeemaschine auch richtig benutzen :D"
"positive","Facebook macht unglücklich. Könnt ihr das bestätigen? :) #SocialMedia "
"neutral","Musikalische Sonne zum Wasserfest: „I Come From The Sun“ gewinnen Bandcontest "
"negative","Nein: unterirdisch! RT : Politisch bleibt also in Lübeck alles anders …"
"positive","Melde mich dann morgen wieder. Geht früh los. Gute Nacht. :)"
"positive","Ahhhh , bitte spielt ihn nochmal ok? Danke :) #imascheregen #hinterland"
"neutral","RT : Wir Füchse stehen ja auf Listen. Danke,  !"
"neutral","Guten Morgen! Draußen schon November-Licht. Da mag man gar nicht glauben, was gestern für schönes Wetter war..."
"neutral"," danke, nicht nötig, habe genug Fachliteratur hier."
"positive","RT : Schrott Ankauf Lahib ( "
"neutral","JETZT BUCHEN - Kochkurs Indische Küche am Mi. 18.09.13... "
"positive","Schon lange nicht mehr so intensiv geträumt und so lange geschlafen 😳"
"negative"," Ho- Ho- Hochverrat!"
"neutral","Gesehen...... "
"neutral","Eagles-Damen gegen Würzburg erfolgreich "
"neutral","Macbook Air braucht sehr lange, um aus dem Sleep wieder aufzuwachen. Jemand Tipps?"
"neutral","RT : Alemania: Neuer, Lahm, Mertesacker, Boateng, Schmelzer, KHEDIRA, Kroos, Müller, Özil, Draxler, Klose."
"neutral","  Auswirkungen des #om13gate? Verstärkung vom Feminazgul-Flügel? SCNR"
"neutral","Topfavorit Gatlin gewinnt 100 m: US-Star Justin Gatlin triumphierte in Linz – und wird auch nächstes Jahr wied... "
"neutral","    Wohl wahr, aber auch unvermeidlich."
"positive"," Sportlich, sportlich! Gönn dir zwischen deinen ganzen Terminen auch eine Pause"
"neutral","Gabriel: Kinder sollen Hausaufgaben ohne Hilfe erledigen"
"neutral","Aktionsplan: Regierung beschließt Hilfe für Menschen mit seltenen Krankheiten "
"neutral","Le Gourmand Vintage: 225 Liter: Handverlesene Winzer präsentieren ihre aktuellsten Tropfen "
"neutral","die kleine hörgalerie has phone number +49 7721 9167016. Call now or check "
"negative","“: Ich bin so Scheiße drauf, #ich #könnte #glatt #anfangen, #hashtags #zu #nutzen!” Dito!"
"neutral"," das is auch ganz ok (mag das blaubeer lieber) aber echt teuer"
"positive"," Lieber Gruß an unsere Freunde in Polen aus dem Norden #Deutschland #Ostholstein"
"positive"," komm shaso nicht aufgeben ;-) vlt ists n bug. Versuchs einfach so um 17-18 nochmal :-) immer positiv denken :-)"
"neutral","#seitensprung Liebesbriefe: Fremdgehen und Freunde bleiben - Berliner Morgenpost: Berichte ueber Seitensprung ... "
"neutral","Babybedarf: ""#8: Playshoes 507136 - Ärmel-Lätzchen lang Arm, Giraffe"" "
"neutral","Da is aber jemand sehr zuversichtlich dass seine Mühle nicht geklaut wird... "
"neutral","Erstellung dynamischer Weltkarten: jQuery-Mapael "
"neutral"," Richtig, grundsätzlich Hamburg. Kein Plan, ob Autor im Hamburger oder Berliner Büro sitzt. Am Ende schreiben immer Touristen..."
"negative","Unsicher? Ich? Da Lache ich doch. HA!"
"neutral","  eben!"
"neutral","#innovation #BORT Zweizug Knöchelstütze medium blau "
"neutral"," Sieht doch sehr danach aus! Welcome back."
"neutral","VideoBustour ""Filmstadt Potsdam – Das rollende Kino"" ab 3. November jeden ersten Sonntag im Monat "
"positive"," Ich muss mir eigentlich nur merken, ob der die Nadelposition 0.5 oder 0.8 ist… Sollte eigentlich möglich sein :-)"
"neutral","Offene Kamine Design: Tipps für ein gutes Geschäft Herd mit Hilfe von Auction Web-Sites bekommen "
"neutral","Miss my nicht"
"neutral","Witzig! Unbedingt auch dem Link folgen: ""Everyone Hates Your Out-of-Office Reply""  "
"neutral","[News] KILLER BE KILLED: neue Band um Musiker von SOULFLY, MASTODON THE DILLINGER ESCAPE PLAN "
"positive"," Dein Folgen freut und ehrt mich. Muss nur gestehen, dass bei meinem ""Hurra""-Tweet etwas an Ironie mitgeschwungen hat ;) LGC :)"
"positive"," IKEA = Idioten Kaufen Einfach Alles :'D #Peace #NoHate hahah"
"neutral","adesso: Deutlicher Ergebnissprung "
"positive"," nachooooooos!"
"negative","phil verstellt sich für seine freundin. kann ihn nich mehr ernstnehmen."
"positive"," 2-0 Toko :) war eine ganz starke Vorstellung!!! #Danke #GCZ"
"neutral","Experte befürchtet höhere Benzinpreise wegen Meldestelle "
"negative","Morgen in den ersten beiden #Sport. danach schön ne #Doppelstunde #Mathe hinterher. bis einschl. 8. Std Unterricht #könntkotzen"
"neutral"," im speechless"
"positive",":)"":  guten tag auch :)"""
"neutral","RT : #Black_Cat: Hey Du, was machst du so? komm in den kostenlosen Sex Chat "
"neutral","Aargau: Ausländische Diebe sehr aktiv "
"neutral","Das Meisenknödel auf Englisch also einfach ""Fat Balls"" heißen, wusste ich nicht. Wieder was gelernt."
"neutral","RT : Selena Gomez Dienstag, 17.09.2013, 19:30 Wiener Stadthalle / Halle F, Wien, Österreich Tic #Events "
"positive",". Duuuuu bist einfach waaaaahnsing toll &lt;3 :-*"
"negative"," viel schlimmer #logik #verlage"
"neutral","Immer schön langsam fahren "
"neutral","Alle #Sexcam #Girls können kostenlos ausprobiert werden. Wir schenken dir unverbindlich #gratis #Coins "
"positive","ich platze. das essen war so geil"
"positive","heute war echt schön :) super nette Menschen getroffen :) tzonlive danke für das Foto :) #videoday… "
"positive"," 🐴ソ"
"neutral","Arzneimittel im Alter: Medikamente können krank machen "
"neutral","Selten benutztes Nexus 7 (2012), Bluetooth-Tastatur + Case inkl.: Berlin | Verkaufe selten benutztes, fast neu... "
"neutral","FortiFX Fit Crunch Peanut Butter Protein Bar Review "
"positive"," geil, abends Äpfel essen, morgens besoffen \o/"
"neutral","RT : 1:0 für Hertha BSC gegen Eintracht Frankfurt! #TOOR"
"negative","Miami Vice mit Don Johnson war früher viel cooler."
"neutral","Basketball: Phoenix Hagen nimmt den US-amerikanischen Big Man Keith Ramsey (25) unter Vertrag. "
"negative","(Der Apostroph schwebt dort in voller Absicht.)"
"negative"," boah bitte Mach nd so den kindergarten sag doch einfach das I gemeint war und verkauf mi nd fûr dumm."
"negative","Nase sitzt zu. Muss aufs Klo. Hasse es."
"neutral","Bei Bestätigung des Insolvenzplans sind unbekannte Forderungen nicht ausgeschlossen – Insolvenzrecht "
"neutral","MELDUNGEN: Shortlist für den Deutschen Buchpreis 2013: Gerade frisch reingekommen: eine Meldung über die sechs... "
"neutral","Einen schönen guten Morgen aus der Redaktion und einen angenehmen Start in den Tag "
"neutral","Wieland-Haustechnik verstärkt Außendienst "
"positive","Endlich macht der Wahlkampf wieder Spaß! #fdp- #cdu+ #allervollstesvertrauen #psycho "
"negative","Weltbild zerstört: Tageziel erreicht! RT : Mein ganzes Weltbild ist jetzt im Arsch."
"neutral"," Lustig. Da hatten wir noch keine Plakate gedruckt. Du meinst wohl die Werbeuhr?! Gut so, dass er sich da präsentiert. #Pätzold"
"neutral","2. Bundesliga - Hertha mit „viel Schwung“ zum Start-Lasogga fehlt "
"neutral"," ALLE Macht geht vom Volke aus! Stoppt den #Faschismus, macht nicht noch mit."
"positive","Schaut so aus, als ob der Sommer vorbei ist. In diesem Sinne, auf a gute Riversurfherbstsaison ;)... "
"negative","Joa, hab ich mich halt voll auf die Fresse gelegt. -.-"" und jetzt tut mein Knöchel mordsweh :-----)"
"negative"," warum kommen keine Videos mehr? :'("
"neutral","Mesut Özil und Sami Khedira dürfen Real Madrid verlassen – noch heute - "
"negative","RT : Jedes Mal, wenn ich exotische Tiere oder Drogen oder Waffen bestelle, die gleiche Misere. Ich muss zum Hauptzollamt."
"positive"," Wie immer werden es die #aufschrei-, #om13gate-, #maskugate- und #maskuleaks-Tanten abstreiten. Ich lache mich immer noch tot. :)"
"positive","Sind pünktlich kurz nach Mondaufgang wachgeworden. Eine wunderschöne sternenklare Nacht - Faszinierende Fotos vom Mond gemacht🌘"
"neutral","Kreditaktion - Kredit auch bei Schufa-Problemen: Aktion mit schneller, seriöser Abwicklung "
"negative"," meiner nicht.. -.- Warte noch darauf, dass meine Tutorien ausgelost werden und die Chancen werden immer schlechter.. -.-"
"neutral","RT : Omg  wenn du das siehst bitte mach uns den Gefallen!!!! #HeidiKlumbittegrüßeOneDirectionvondeutschenDirectionern"
"neutral","Flauschigen Bademantel zu Ihrer Bestellung gratis dazu "
"neutral","Habe keine Ahnung - Mutti wirds schon richten! deshalb #CDU- #FDP- #SPD- #GRÜNE- uns natürlich #AfD+ für ein... "
"neutral","Fußball 3. Liga: Stuttgarter Kickers: Buchwald bestätigt Rücktritt "
"neutral","Schönes VERSACE Gladiatoren-Kleid aus der Frühlins-/Sommerkollektion 2012 aus Neoprene und Leder mit "
"neutral","Calvin Klein Men's X Extreme Slim Fit Multi "
"neutral","1. Bundesliga (20:10) - Schade: ''Würden Wiederholungsspiel akzeptieren'': Bayer Leverkusen wird sich am Monta... "
"neutral","übrigens sind das im neuen nintendo 2ds keine zwei separaten bildschirme, sondern nur ein(!) großer... "
"neutral","Hohe Margen bei Medikamenten "
"neutral","Nein! Das war noch nicht genug Halloween Soundtrack! Timeless feat. Johnny Pepp mit “Halloween“. "
"neutral","Dienstag nach 18 Uhr in Handwerkersprech bedeutet also überübernächsten Dienstag vor 9 Uhr."
"negative"," Angeschossen? Alter Falter, schwache Leistung :( "
"neutral","Endlich: Evolutionstheorie widerlegt! "
"neutral","Hey Derek, sprechen sie dick"
"neutral","(Das erste war ich und das zweite mein Vater.)"
"neutral","Quote? Wieso nicht Fähigkeiten? Was bringt eine Erfüllung der Quote mit ""schlechter Arbeit""? #Piraten"
"negative","Soo. Die #22UhrNonMention 's dürfen nun beginnen...meins war schon. Zu früh. Besser als gar nich."
"negative"," dasisaberschade"
"positive","  ich glaub's nicht - I'm going down läuft im Hintergrund. Die Götter sind mir gnädig gestimmt :-))"
"neutral","RT : ZEIT: ""Ist Gustl #Mollath gesund, Herr #Strate?"" Gegenfrage: ""Sind Sie gesund, Frau Rückert, Herr Wefing?"" "
"neutral","Über 1.000 MP3- #Alben für je 3,99 EUR bei Amazon | "
"neutral","Der #Griesebertschaeler muss mal wieder Luft durch die Ohren ziehen lassen, los Hopp aufs Balkönchen alter Mann"
"neutral","Reichen oder besser LÜCKENFÜLLTWEET I'm at Raststätte Miese Briese hab Bock auf McNuggets Edge."
"positive","  Tiger Woods niece..."
"negative"," also das geht gar nich sowas. Bei ihrem Chef müsste man sich beschweren. Die Frau soll ihr was beibringen u is so drauf."
"positive","  Warte ab. ... YT macht keine Gefangenen. ;)"
"neutral","*** BILDplus Inhalt *** Fälle, Urteile &amp; Erfolge - Die härtesten Richter Deutschlands! "
"neutral","BenQ G2222HDL TFT Flachbildschirm 21,5 Zoll: Startseite | Hallo habe hier einen sehr guten TFT LED Flachbildsc... "
"neutral"," Amine weiße was bitte denk einfach einmal pervers"
"neutral"," besser wirds dadurch leider auch nicht ;-)"
"neutral"," Untersteh dich!"
"neutral","New post: KS: Baunatal: Geldwechseltrick: Geschickter Dieb klaute unbemerkt 250,- Euro aus Portmonee "
"positive","Sarung laptop pon blh sue..haha"
"neutral","Schweizer Mr. Bean: Tollpatschiger Journalist zerstört wertvolles Kunstwerk "
"neutral","RT : “Charta zur sozial gerechten Energiewende” vorgestellt "
"negative",": Sie wird wohl Dreck am stecken haben.. #merkelphone "
"neutral","#love #fun #kiss #Blümchen #winter #kalt #pink #weiß #blau #bla #bli #blub #blub #ich lass #mich #fallen #lächeln... "
"negative","Ich würde mir selbst nicht schreiben."
"positive","Gute Besserung  - get well soon! #FCB"
"neutral","Wasserschlacht von Gladbach heute? #skybuli #bmgsge"
"positive"," hehehe ;) was macht die Ikea Bastelei?"
"positive"," woahaaa geil lea :) das muss echt ein geiles Gefühl sein. Krass. Glückwunsch :')"
"neutral","#Porsche, #911, #997 :Windschott gebrochen "
"neutral"," schlaf jut Alte."
"positive","Guten morgen ... Freu mich auf Samstag und bin gespannt was ihr zu TRX sagt..."
"negative","  😦"
"neutral","Ehemann Nummer zwei: Was sagt Kris Humphries zu Kims Verlobung? #KimKardashian #KanyeWest #KrisHumphries "
"positive","So sieht der perfekte Social-Media-Beitrag aus - Meedia "
"neutral","Photo: Neue Westfälische (Bielefeld): Käßmann: Luther hinterließ ein schweres Erbe Neue Westfälische... "
"negative","tot: meine Aussichten. Endet es."
"positive"," Und, auch wenns sich komisch anhört, blaue Dinge angucken. Die Farbe entspannt das Auge. :)"
"neutral","Studie: Kita macht Erzieherinnen krank - RP ONLINE: RP ONLINEStudie: Kita macht Erzieherinnen krankRP ONLINENo... "
"neutral","Anlage voll aufdrehn bis meine Mutter wütend ins Zimmer reinplatzt! #läuft"
"neutral"," Fuckin brilliant Einstein,,"
"neutral","   lieber Staatskasse. Weiterhin Abschaffung der Beitragsbemessungsgrenze."
"neutral","Weltbild holt Umbau-Experten an Bord: Josef Schultheis wird Geschäftsführer Restrukturierung "
"neutral","Hör mal, wer da hämmert - Bote vom Haßgau "
"neutral"," im Herbst stellt man die Uhr zurück. ""Im Frühling stelle ich die Gartenmöbel VOR das Haazs im Herbst ZURÜCK"" :-)"
"neutral"," SOLD!!"
"neutral","Liebe  sprengt ein fussballspiel via tv air übers handy ohne wlan die rechnung? Hab noch 16 MB Restdatavolumen"
"negative","Ach verdammt. Nich groß genug! -.- ( "
"negative","Aha, wer bis 15 nicht lesen kann, soll das also bis 18 können... Schrecklich, diese Hilflosigkeit....#övp"
"negative",": : . If I Ever Die These Hoes Gone Be Happy Asf.!"""""
"neutral","  Alkohol siedet bei 78C, das macht also keinen Unterschied."
"positive","Good morning Nice! #cotedazur @ Bambou Plage "
"positive","  Fast genauso gut, nur moderner. ^^"
"positive","Zwar in Frechen, aber günstig und hübsch "
"neutral","#Voerde #Möllen Frankfurterstr Ende #STEAG seit Montag per Ampel Einspurig. "
"negative"," Außerdem zeigt Wattpad all meinen Facebook Freunden nun an wenn ich für eine Story vote. Das war vorher auch nicht. -.-"
"negative"," ach, hände brauch keiner"
"neutral","Exklusiv: Der klassische Kinotrailer zu Alfonso Cuarons ""Gravity"" geht unter die Haut - nur bei uns mit deutschen... "
"neutral"," jetzt wollen wir natürlich alle wissen, warum ausgerechnet Rösti auf dem Monte Generoso?"
"negative","Ok, streicht das Mist."
"neutral","New post: IZ: Kellinghusen: Einbruch ins Freibad - Drei Personen festgenommen "
"neutral"," Dankeschön.        #ff Grüße"
"neutral","RT : gebrauchte Domain "
"neutral","    So füllen, wie es hilft seiner Furcht oder Neugier zu zügeln. Nur eben keine Religion daraus machen"
"neutral"," Neoliberales Geschwätz."
"neutral","Weil's grad zu den OZ-Wahlen passt. Gillard liest dem (wahrscheinlich) neuen Premier die Leviten: "
"neutral","Stephen Sauer zum neuen Finanzreferenten gewählt #jusolakosaar13 Herzlichen Glückwunsch!"
"neutral"," Felsen sind nicht fest. Such dir was festeres."
"neutral","Finanzbürgermeister Peter Kleine verteidigt Plan, beitragsfr. Kita-Jahr zu streichen. Elternbeiträge sollen 2014 konstant bl. #StadtratWE"
"neutral","Die Teilnehmer gehen unter lautstarken Protest zum Bahnhof zurück #badnenndorf"
"positive","  Ihr seht beide toll aus und jetzt stfu"
"positive"," oder spaeter. Will nur kurz was holen und will dic sehen lololol"
"neutral","Honduras: Internationale Menschenrechtsbeobachter entführt "
"neutral","20131024 Französische Telefongespräche aufgezeichnet: NSA spioniert millionenfach französische Bürger aus Nicht..."
"positive"," vogue&lt;333 schenk mir alle hahaa hab gar keine"
"positive"," du könntest meine Fenster putzen *lieb guck*"
"neutral","RT : CDU erhält erneut Großspende aus #BMW-Umfeld / Audi stoppte Spendenpraxis schon vor Jahren "
"positive","Diese vorfreude vor dem Date :)"
"negative"," ...bin selber schlecht ..wäre doof...:-)"
"neutral","HR:  +++ Flum freut sich über Konkurrenz +++ Eintracht Frankfurts Johannes Flum hadert nach der knappen... "
"neutral","Papenburger Firma entwickelt umweltfreundliche Technologien "
"neutral"," Ich würde permanent in der Wanne liegen, ne."
"neutral","POL-DA: Aufmerksame Nachbarn löschen Küchenbrand "
"neutral","#opblitzkrieg kalte Ehe, warme Affäre, Herz spricht plötzlich "
"neutral","Advocaat trainiert AZ Alkmaar: Dick Advocaat wird neuer Trainer des niederländischen Erstligisten AZ Alkmaar. ... "
"positive","Soooo, gute Nacht, Tatorties - hoffe Ihr findet uns auch Blau statt Rot weiterhin in Eurer Timeline. :-)"
"neutral","Gefährlicher Weltraumschrott könnte künftig mit einem leistungsstarken Laser von der Erde aus u... "
"negative"," Echt nicht? o___o"
"neutral","Freiheit statt Angst: Demos gegen Ausspähung "
"neutral","Obwohl weiterhin weniger #Velo gefahren wird (Beliebtheit sinkt), werden Unsummen reigepumpt. Darum also #Vignette! "
"positive"," pure gänsehaut, dicken dicken respekt!!! Danke!"
"positive","Wenn ich den Namen Shepherd höre, muss ich einfach sofort an McDreamy denken. :'D #GA"
"negative","  Keine neuen T-Shirts eingetroffen! Und, Freunde, was soll ich jetzt heute anziehen?"
"positive"," folback pik :D"
"neutral","Nichts als die Wahrheit #instamood #instagood #instaGD #igers #tbt #like #follow #me #cute… "
"neutral","Bezahlte Artikel ★ pay per post ★ #Geld #verdienen mit dem Blog - "
"positive","Also wenn ich 10kg weniger wiegen würde wäre schon sehr nice. "
"negative","  so isses. Ich forsche da aber morgen früh nochmal nach...und wenn sie's nicht gebacken kriegen wärs echt schade."
"neutral"," Daumen drücken wofür? Dass sie die Wohnung bekommt oder nicht bekommt?"
"neutral"," Piraten, Grüne, Die Partei, dann schon Tierschutz. Weit abgeschlagen letzter: CDU/CSU. Davor Punktgleich: FDP, SPD. #yey"
"neutral","interessant. wegen drachen Überall! schon * that macht mir nein :E · k, counting Trinke HTL-Gebäude ist"
"negative","Was sagen wir zu Merkel heute abend? #PENIS #HACH oder #METT ? Denke #Einhorn passt bei ihr auf keinen Fall!"
"negative","Na toll, ich muss dem #Taxi Fahrer den Weg erklären ... #Frankfurt"
"neutral","  shocker. Ari Fleischer supports terrorism."
"positive","RT : Das Paradies verdient, wer seine Freunde zum Lachen bringt. Aus dem Koran"
"negative","Google Glasses, Okay! Aber eine Uhr zum Telefonieren mit 2 Tagen Akkulaufzeit? Schlechter Witz."
"neutral","Übertriebene Harmonie zwischen #Faymann und #Glawischnig echt widerlich. #orfwahl13"
"neutral"," ...ja nee .....is klar .einer muss sich opfern. .;-)"
"positive","Wuuu Da war jemand schnell mit den Bildern X3 "
"negative","Fast schade, dass heute Fußball ist, sonst würde ich gleich einen #himym Marathon starten… "
"positive","geil wär wenn ihr garrys mod spielen würdet also horror mas oder freebuild ( "
"positive","Gute Nacht...der Letzte macht´s Licht aus...gelle? ;) ♥"
"positive","Schmetterlinge lachen...: Aus Fehlern lernen "
"negative"," weh..."
"positive"," Dafür gibt´s ein großes spanisches ""beso"", versprochen."
"positive"," Altmaier war schon hier. Aber auch schnell wieder weg... #Termine ;-)"
"neutral","Proteste in der #Türkei: Polizei geht gewaltsam gegen Demonstranten vor "
"neutral"," fllw back?"
"negative","Yo My Phone Need To Die Already 😡😡"
"neutral","Neue EU-Regel: Sparer müssen um Guthaben unter 100.000 Euro bangen "
"neutral","Möchtet ihr uns gerne helfen, die WELTHERRSCHAFT an uns zu reißen? MUAHAHA. Dann tretet dem offiziellen... "
"neutral","#seitensprung Weib sucht Abenteuer ohne Anspruch unauffaellig und attraktiv "
"negative","DE GUY LOOKS LIKE A DANGER TO SOCIETY!!  er könnte ya im sumpf so n schönen LOVESHACK bauen--//not fer me!"
"neutral","News: Beats Audio will Partnerschaft mit HTC beenden "
"neutral","Dackel Anzeigen Kaninchenlanghaardackel sucht..... in Detern: Wir suchen liebevolle Zweibeiner f... "
"positive"," Gute Nacht Angelika, schlaf gut und träume was Schönes! ♡"
"neutral","Na herrlich. 5 Folgen Shopping Queen gleich. Ich kenne alle. Also muss was anderes her."
"negative","Ich bin mehr so 'ne schöne, gelbe Banane. #was o_O"
"positive","Carpe Diem Kombucha: Leichter Genuss aus dem Meer "
"positive","Albert Einstein looking fabulous back then "
"neutral","2013 - Neue Armutsgrenze erreicht, Geld ist so knapp, dass die Halloween Schminke nur für eine Gesichtshälfte reicht."
"negative","Wenn deine Freunde Abend für Abend was unternehmen und du nicht dabei sein kannst, ist das ziemlich deprimierend."
"positive","Die Belohnung für's Warten. Eine Tour nach Bohnsdorf. Vielen Dank lieber Fahrgast."
"neutral","RT : Berlusconis Partei droht wg Urteil gg ihren Meister mit Koalitionsbruch -Ich empfehle Auswanderung nach Nordkorea! "
"negative","RT : Bitte, bitte, bitte nie mehr Schauspieler einladen! #hartaberfair"
"positive","Gute Laune Energie für die ganze Galaxie! "
"positive","ich seh aus wien bonbon hahahah"
"positive"," Klar, einfach gegen den Ball treten.....reicht schon^^"
"positive"," :-D"
"neutral","Lunch  (at Warung Stasiun) [pic] — "
"neutral","Mittels timr Team Tracking Zeiten für Ihr Team erfassen, in diesem Blogpost lesen Sie alle Details dazu: "
"neutral","Berlin, Schadenregulierer (m/w) Sach Schaden für das Regulierungsgebiet Ostsachsen "
"neutral","RT : Project Shield von Google will gefährdete Webseiten schützen "
"neutral","Neueste Taktik: machen! Wenn's nicht passt, war's nix!"
"negative"," Frühdienst und leider nicht am WE frei. Schlaf gut"
"neutral"," Ja, irgendwie schon. Ihre Stimme hatte halt so viel mehr."
"positive"," Nö, kein Monolog. Freue mich auf Deinen nächsten Tweet. Schöner Tag . #ehermorgenmuffelich"
"neutral","Kleine Stückelungen begünstigen Privatanleger "
"neutral"," gebe ich dir Recht, aber am besten sind einfach Projekte die sich von anderen abheben und etwas ganz neues bieten."
"negative","Ik ben echt klein oh god..."
"neutral","RT : Ökostrom-Umlage: Strom wird wohl teurer, aber nicht überall: Energiedienst erhöht nicht - badische-zeitung.de "
"neutral"," nein. Hat in FFM und Umgebung mächtig für Wirbel gesorgt."
"neutral","RT : Exportstärke: USA üben scharfe Kritik an Deutschlands Wirtschaftspolitik "
"positive"," Hi (*o*)v habs endlich geschafft XDXD"
"negative","  da hast du recht, peinlich, peinlich"
"neutral","Chemiewaffen-Vernichtung: Aufwendig, teuer, gefährlich "
"neutral","Tödlicher Badeunfall...."
